ZIP,MHI,Minority,popdensity,EVs.per.1k.People,Public transportation,area_status
07719,119828,0.12530490559219443,1744.660729765939,26.47,0.01234567901234568,Gap
07720,97005,0.1748436748436748,6838.815789473684,26.7,0.04303122619954303,NA
07721,123060,0.6174888940846388,4689.69298245614,34.84,0.0907488986784141,NA
07722,198994,0.1299299299299299,289.2047592855282,62.86,0.04214634146341464,Gap
07723,160000,0.24321266968325794,538.0401704199635,323.53,0.06301369863013699,NA
07724,102756,0.3310709526982012,1980.701030927835,30.31,0.03019134253450439,Gap
07726,149197,0.2073094450898043,1353.1634472960309,49.08,0.0751862088349651,Gap
07727,129931,0.18325414151791453,305.3486001097953,39.42,0.03463563313937379,Gap
07728,114072,0.26541511860531586,1128.436668547932,30.62,0.02775231880338747,Gap
07730,125338,0.18278772670240673,3373.8695401192995,18.19,0.04289299566506959,Gap
07731,134056,0.26734784980903725,1268.785399622404,21.97,0.02069695802849442,Gap
07732,91875,0.17958913187541414,1199.8409753511794,29.6,0.08270676691729323,Gap
07733,166849,0.27012699522311545,965.8470714004388,67.34,0.1262398557258792,Gap
07734,82029,0.2931528046421663,7611.896348645466,11.91,0.05992051360440232,NA
07735,97536,0.286758181533483,3946.240988671472,19.21,0.0402970297029703,Non-Gap
07737,139318,0.10950570342205324,1503.4298780487804,16.98,0.1201171875,NA
07738,189000,0.17091799971177402,1232.5044404973357,40.21,0.08083529808016167,Gap
07739,240853,0.0229320229320229,2260.27397260274,44.39,0.09836065573770492,NA
07740,79870,0.4356411580642221,6237.824521508433,26.89,0.0421213861765269,Non-Gap
07746,207689,0.26591253518077507,1493.010101010101,69.5,0.09856897538637664,NA
07747,124383,0.31410454686050104,2527.558439527793,28.21,0.0810667296005664,Gap
